# 20230428T1139
sample_num	sample	read_type	source	cell	project_phase	data_production	HHU_complete	sin
20	HG03371	HiFi	JAX	JAX_HiFi_HG03371_m64119_220207_182351	Yr1,Yr3	incomplete	no	SIN:03371
20	HG03371	ONT	JAX	20220322_220316_21-lee-006_PC24B149_3D	Yr1,Yr3	incomplete	no	SIN:03371
20	HG03371	ONT	JAX	20220329_220323_21-lee-006_PC24B149_1F	Yr1,Yr3	incomplete	no	SIN:03371
21	HG02492	HiFi	JAX	JAX_HiFi_HG02492_m64039_220221_051108	Yr1,Yr3	incomplete	no	SIN:02492
21	HG02492	HiFi	JAX	JAX_HiFi_HG02492_m64119_220206_072658	Yr1,Yr3	incomplete	no	SIN:02492
21	HG02492	HiFi	JAX	JAX_HiFi_HG02492_m64119_220226_041620	Yr1,Yr3	incomplete	no	SIN:02492
21	HG02492	ONT	JAX	20220408_220405_21-lee-006_PC24B149_3E	Yr1,Yr3	incomplete	no	SIN:02492
21	HG02492	ONT	JAX	20220412_220407_21-lee-006_PC24B149_3E	Yr1,Yr3	incomplete	no	SIN:02492
21	HG02492	ONT	JAX	20220419_220412_21-lee-006_PC24B149_2D	Yr1,Yr3	incomplete	no	SIN:02492
22	HG03009	HiFi	JAX	JAX_HiFi_HG03009_m64039_220126_024139	Yr1,Yr3	incomplete	no	SIN:03009
22	HG03009	HiFi	JAX	JAX_HiFi_HG03009_m64119_220119_065557	Yr1,Yr3	incomplete	no	SIN:03009
22	HG03009	HiFi	JAX	JAX_HiFi_HG03009_m64119_220126_013959	Yr1,Yr3	incomplete	no	SIN:03009
22	HG03009	ONT	JAX	20220223_220216_21-lee-006_PC24B149_1G	Yr1,Yr3	incomplete	no	SIN:03009
22	HG03009	ONT	JAX	20220226_220223_21-lee-006_PC24B149_3F	Yr1,Yr3	incomplete	no	SIN:03009
22	HG03009	ONT	JAX	20220307_220302_21-lee-006_PC24B149_3F	Yr1,Yr3	incomplete	no	SIN:03009
23	HG03683	HiFi	UW	m54329U_220220_134718	Yr1,Yr3	complete	no	SIN:03683
23	HG03683	HiFi	UW	m54329U_220311_015732	Yr1,Yr3	complete	no	SIN:03683
23	HG03683	HiFi	UW	m64076_211225_093817	Yr1,Yr3	complete	no	SIN:03683
23	HG03683	HiFi	UW	m64076_220317_110154	Yr1,Yr3	complete	no	SIN:03683
23	HG03683	ONT	UW	20230214_HG03683_UL_eee-prom1-2G-PAG79669_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:03683
23	HG03683	ONT	UW	20230214_HG03683_UL_eee-prom1-2H-PAG77581_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:03683
23	HG03683	ONT	UW	20230221_HG03683_UL_eee-prom1-3E-PAM43089_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:03683
23	HG03683	ONT	UW	20230221_HG03683_UL_eee-prom1-3F-PAM41696_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:03683
23	HG03683	ONT	UW	20230223_HG03683_UL_eee-prom1-2B-PAM43089_guppy-5.0.11-sup-prom_fastq_pass	Yr1,Yr3	complete	yes	SIN:03683
